Text,Emotion
"I'm in a bad mood, need something spicy!",Angry
I need something spicy to wake me up!,Excited
"I had a terrible day, just give me comfort food.",Sad
"I feel so energetic today, suggest a fun dish!",Happy
"I'm too tired to cook, what's easy to order?",Tired
"I need something light, my stomach feels uneasy.",Neutral
This food makes me so nostalgic!,Happy
"I'm furious, my order was completely wrong!",Angry
I just want to treat myself to something fancy.,Happy
Can you recommend a quick and healthy snack?,Neutral
"I feel so down, I need some warm soup.",Sad
"Today is a special day, I want a feast!",Excited
"I'm annoyed, my food is taking forever.",Angry
"Give me something sweet, I need to cheer up.",Sad
"I feel so lazy, suggest something effortless.",Tired
"I want a refreshing drink, it's so hot outside!",Neutral
"My mood is great, I want something delicious!",Happy
"I don’t feel like eating, but I need something.",Sad
"I need a strong coffee, I have work to do.",Tired
"Ugh, my meal is bland, I need something better.",Angry
"I had a long day, just give me comfort food.",Tired
"I feel adventurous, suggest something unique!",Excited
"I love sweets, surprise me with something good!",Happy
"I just finished a workout, I need protein.",Neutral
Can I get something warm and cozy for this weather?,Neutral
"I'm super hungry, I need a huge meal!",Hungry
"My day was stressful, I need junk food.",Tired
"I want something crunchy, any good options?",Neutral
"I am feeling really sad, need a chocolate fix.",Sad
"I feel so bored, suggest something fun to eat!",Neutral
I'm craving something cheesy and delicious!,Happy
I love this food!,Happy
This order is taking too long!,Angry
I'm not hungry.,Sad
Tell me about today's menu.,Neutral
"Wow, this meal is incredible!",Happy
I'm really upset with this service.,Angry
I feel lonely and don’t want to eat.,Sad
What do you recommend today?,Neutral
This is the best food I've ever had!,Happy
Why is my order delayed again?,Angry
I just lost my appetite.,Sad
Can I see the full menu?,Neutral
I'm having a great time eating this!,Happy
This is unacceptable service!,Angry
I don't feel like eating anything.,Sad
How much does this cost?,Neutral
I'm so satisfied with this meal!,Happy
My order is completely wrong!,Angry
I wish I had something else to eat.,Sad
I need more details about the dishes.,Neutral
I'm really enjoying this experience.,Happy
The delivery is taking forever!,Angry
I'm feeling down today.,Sad
What are your top dishes?,Neutral
This tastes so delicious!,Happy
I can't believe this is happening again!,Angry
I don't feel like talking to anyone.,Sad
Do you have any vegan options?,Neutral
I'm super happy with my order!,Happy
The food was cold when it arrived.,Angry
I feel completely exhausted.,Sad
Can you suggest something light to eat?,Neutral
"I had a hectic day, suggest something.",Tired
"I am very happy, suggest me something special!",Happy
"I feel very low, recommend comfort food.",Sad
"I need a quick and easy meal, what do you have?",Neutral
"This day was stressful, I need something sweet.",Tired
"Give me something refreshing, I feel exhausted.",Tired
"I am excited for the weekend, give me a treat!",Happy
"I had a rough day, I need something warm.",Sad
"The weather is cold, suggest something cozy.",Neutral
"I'm in a bad mood, need something spicy!",Angry
